codigo_estacao,ano,rajada_max,dias
A001,2000,20.8,223
A001,2001,18.3,356
A001,2002,15.1,358
A001,2003,24.3,357
A001,2004,19.0,335
A001,2005,21.7,365
A001,2006,18.1,360
A001,2007,18.7,360
A001,2008,17.7,366
A001,2009,16.1,365
A001,2010,14.5,347
A001,2011,20.7,365
A001,2012,16.0,366
A001,2013,19.7,365
A001,2014,26.4,365
A001,2015,23.5,365
A001,2016,16.8,366
A001,2017,17.8,365
A001,2018,17.9,364
A001,2019,18.9,365
A001,2020,15.3,366
A001,2021,19.6,365
A001,2022,21.0,365
A001,2023,20.0,365
A001,2024,18.9,366
A001,2025,13.0,289
A002,2001,17.2,192
A002,2002,21.4,347
A002,2003,20.1,342
A002,2004,19.0,344
A002,2005,22.3,328
A002,2006,19.1,360
A002,2007,20.7,365
A002,2008,19.4,366
A002,2009,16.7,365
A002,2010,21.2,365
A002,2011,20.4,365
A002,2012,22.3,366
A002,2013,17.0,365
A002,2014,18.8,365
A002,2015,20.8,365
A002,2016,20.8,366
A002,2017,16.0,365
A002,2018,19.5,365
A002,2019,20.9,365
A002,2020,19.6,366
A002,2021,21.4,365
A002,2022,23.2,365
A002,2023,17.5,365
A002,2024,16.2,366
A002,2025,16.7,241
A003,2001,20.9,197
A003,2002,19.3,353
A003,2003,17.8,275
A003,2005,18.1,178
A003,2006,21.2,360
A003,2007,18.7,365
A003,2008,15.6,365
A003,2009,13.7,10
A003,2010,20.8,280
A003,2011,25.0,365
A003,2012,21.9,366
A003,2013,21.5,327
A003,2014,20.4,365
A003,2015,24.0,365
A003,2016,21.2,366
A003,2017,22.6,365
A003,2018,19.4,365
A003,2019,21.9,365
A003,2020,20.9,366
A003,2021,18.8,336
A003,2022,21.1,364
A003,2023,23.0,365
A003,2024,23.2,366
A003,2025,17.2,289
A004,2001,16.7,207
A004,2002,20.9,323
A004,2003,15.6,311
A004,2004,18.4,151
A004,2005,23.2,165
A004,2006,21.7,360
A004,2007,21.0,365
A004,2008,17.7,282
A004,2009,20.2,365
A004,2010,19.4,338
A004,2011,15.7,332
A004,2012,22.9,366
A004,2013,18.9,365
A004,2014,20.3,358
A004,2015,23.9,280
A004,2016,21.8,366
A004,2017,18.4,365
A004,2018,14.5,132
A005,2001,19.7,211
A005,2002,16.4,220
A005,2004,21.5,198
A005,2005,20.8,302
A005,2006,18.5,325
A005,2007,17.0,124
A005,2018,23.5,110
A005,2019,19.3,365
A005,2020,16.5,211
A005,2021,19.2,280
A005,2022,19.7,365
A005,2023,21.1,264
A005,2024,16.9,366
A005,2025,19.8,289
A006,2001,16.3,118
A006,2002,15.5,283
A006,2003,15.1,27
A006,2004,9.6,4
A006,2005,15.2,161
A006,2006,17.4,92
A007,2003,23.5,315
A007,2004,18.2,268
A008,2003,17.0,198
A008,2004,19.3,310
A008,2005,20.5,365
A008,2006,19.9,358
A008,2007,24.2,362
A008,2008,22.0,351
A008,2009,21.1,310
A008,2010,20.1,313
A008,2011,23.0,365
A008,2012,21.1,366
A008,2013,16.4,50
A009,2004,12.5,15
A009,2005,18.1,348
A009,2006,19.4,358
A009,2007,23.1,360
A009,2008,20.9,365
A009,2009,18.3,350
A009,2010,20.8,365
A009,2011,19.7,327
A009,2012,22.8,339
A009,2013,18.7,361
A009,2014,22.9,360
A009,2015,21.5,317
A009,2016,20.4,340
A009,2017,21.4,365
A009,2018,19.4,365
A009,2019,23.4,365
A009,2020,18.5,366
A009,2021,19.6,364
A009,2022,20.6,313
A009,2023,22.8,324
A009,2024,19.9,366
A009,2025,18.2,289
A010,2005,17.4,261
A010,2006,16.5,357
A010,2007,22.2,365
A010,2008,18.2,365
A010,2009,19.2,365
A010,2010,19.7,365
A010,2011,19.0,365
A010,2012,24.7,362
A010,2013,21.1,300
A010,2014,17.1,357
A010,2015,19.4,365
A010,2016,15.9,353
A010,2017,16.9,361
A010,2018,21.7,301
A010,2019,19.9,323
A010,2020,16.9,357
A010,2021,16.0,188
A010,2022,16.1,365
A010,2023,17.6,361
A010,2024,19.3,365
A010,2025,16.7,289
A011,2006,21.3,170
A011,2007,21.2,365
A011,2008,20.5,343
A011,2009,24.5,363
A011,2010,24.9,365
A011,2011,23.9,365
A011,2012,24.7,363
A011,2013,21.6,365
A011,2014,21.7,365
A011,2015,21.1,365
A011,2016,19.0,311
A011,2017,24.2,344
A011,2018,24.2,365
A011,2019,24.6,331
A011,2020,20.5,364
A011,2021,18.1,354
A011,2022,22.0,149
A011,2024,19.6,56
A011,2025,23.1,289
A012,2006,16.6,72
A012,2007,20.0,362
A012,2008,17.3,365
A012,2009,23.5,365
A012,2010,22.1,365
A012,2011,19.6,365
A012,2012,21.0,366
A012,2013,19.6,365
A012,2014,17.2,292
A012,2015,22.3,363
A012,2016,19.4,365
A012,2017,20.7,361
A012,2018,19.8,365
A012,2019,23.8,356
A012,2020,24.5,286
A012,2021,22.5,365
