limite_inferior,limite_superior,dias
0.0,1.0,3442
1.0,2.0,2339
2.0,3.0,5727
3.0,4.0,23460
4.0,5.0,87590
5.0,6.0,204228
6.0,7.0,335852
7.0,8.0,426692
8.0,9.0,448808
9.0,10.0,412247
10.0,11.0,335789
11.0,12.0,245022
12.0,13.0,161151
13.0,14.0,98996
14.0,15.0,59640
15.0,16.0,36375
16.0,17.0,23118
17.0,18.0,15038
18.0,19.0,10010
19.0,20.0,6695
20.0,21.0,4709
21.0,22.0,3354
22.0,23.0,2398
23.0,24.0,1792
24.0,25.0,1404
25.0,26.0,581
26.0,27.0,333
27.0,28.0,282
28.0,29.0,192
29.0,30.0,156
30.0,31.0,135
31.0,32.0,90
32.0,33.0,66
33.0,34.0,58
34.0,35.0,45
35.0,36.0,33
36.0,37.0,33
37.0,38.0,23
38.0,39.0,16
39.0,40.0,24
40.0,41.0,10
41.0,42.0,13
42.0,43.0,10
43.0,44.0,10
44.0,45.0,7
45.0,46.0,2
46.0,47.0,4
47.0,48.0,1
48.0,49.0,4
49.0,50.0,0
50.0,51.0,0
51.0,52.0,0
52.0,53.0,0
53.0,54.0,0
54.0,55.0,0
55.0,56.0,0
56.0,57.0,0
57.0,58.0,0
58.0,59.0,0
59.0,60.0,0
