codigo_estacao,latitude,longitude,p95,p99,n_obs
A001,-15.7894,-47.9258,24.1,25.875,26
A002,-16.6428,-49.2203,22.3,22.983999999999998,25
A003,-17.745,-49.1017,23.88,24.77,24
A004,-14.4694,-48.4858,23.305,23.781,18
A005,-13.3094,-49.1175,22.2,23.24,14
A006,-14.5333,-49.9667,17.125,17.345,6
A007,-15.4333,-50.3667,23.235,23.447,2
A008,-15.9075,-48.12,23.6,24.08,11
A009,-10.1478,-48.3144,23.09,23.337,22
A010,-12.615,-47.8719,22.2,24.200000000000003,21
A011,-18.9692,-50.6333,24.72,24.863999999999997,19
A012,-16.2606,-47.9669,23.835,24.367,20
A013,-15.9028,-52.2453,22.509999999999994,24.022,19
A014,-15.9397,-50.1414,23.91,23.982,19
A015,-14.9797,-49.5394,23.88,24.456,17
A016,-17.9236,-51.7175,24.23,24.446,19
A017,-14.0892,-46.3664,23.23,23.446,19
A018,-12.0153,-48.5444,24.71,24.782,19
A019,-11.745,-49.0517,22.459999999999994,24.332,19
A020,-8.9686,-48.1772,23.43,23.646,19
A021,-7.1039,-48.2011,17.889999999999997,18.538,19
A022,-15.2203,-48.99,24.15,24.51,19
A023,-16.9669,-51.8175,23.65,24.01,19
A024,-14.1331,-47.5233,22.119999999999997,23.784,17
A025,-17.7853,-50.965,24.959999999999997,25.392,19
A026,-17.4547,-52.6011,24.81,24.881999999999998,19
A027,-16.9625,-50.4256,23.86,24.131999999999998,18
A028,-16.4231,-51.1489,24.38,24.716,13
A029,-17.3369,-49.9147,37.12,40.544,9
A031,-12.8206,-50.3358,28.78,29.036,9
A032,-13.2536,-46.8903,24.64,24.928,19
A033,-17.3042,-48.2842,23.5,23.5,19
A034,-18.1547,-47.9275,21.759999999999998,22.032,18
A035,-18.4097,-49.1919,24.36,24.791999999999998,19
A036,-16.785,-47.6131,24.66,24.932,18
A037,-16.6797,-48.6181,21.7,23.62,16
A038,-11.5944,-46.8472,24.415,24.483,18
A039,-11.8875,-49.6083,23.709999999999997,24.661999999999995,18
A040,-10.4344,-45.9219,24.2,24.2,13
A041,-9.5764,-49.7233,24.67,24.774,14
A042,-15.5997,-48.1311,28.279999999999998,29.976,9
A043,-8.1547,-46.6394,19.14,19.428,10
A044,-5.6436,-48.1119,24.175,24.355,16
A045,-15.5964,-47.6258,21.544999999999998,21.749,18
A046,-15.9353,-48.1375,25.72,26.424000000000003,12
A047,-16.0122,-47.5575,23.1,23.26,9
A048,-7.1242,-48.7813,33.249999999999986,36.49,10
A049,-8.0928,-48.4786,33.234999999999985,38.167,10
A050,-9.7934,-47.1327,27.46999999999999,29.413999999999998,10
A051,-10.4769,-49.6294,21.38,21.476,9
A052,-11.4289,-48.185,22.2,23.16,11
A053,-11.2842,-47.2122,24.099999999999998,24.82,10
A054,-12.5922,-49.5286,23.6,23.84,11
A055,-10.8283,-49.8479,25.18499999999999,28.317000000000004,10
A056,-16.3994,-47.6258,41.72,42.504000000000005,8
A101,-3.1033,-60.0164,38.375,40.575,26
A102,-9.3583,-69.9264,22.349999999999998,22.63,15
A104,-9.9592,-67.869,23.759999999999998,23.951999999999998,17
A108,-7.6106,-72.6811,19.14,19.588,9
A109,-6.6503,-69.8686,21.735,22.267,8
A110,-8.7767,-67.3325,22.68,23.256,17
A111,-7.2606,-64.7886,19.93,20.066,18
A112,-7.5525,-63.0714,24.259999999999998,24.451999999999998,17
A113,-7.2056,-59.8886,23.625,23.685,16
A117,-4.0975,-63.1453,21.53,21.666,18
A119,-3.2947,-60.6283,22.055,23.211,18
A121,-3.1333,-58.4828,20.199999999999996,21.559999999999995,18
A122,-3.3989,-57.6739,19.275,19.455,16
A123,-2.6392,-56.7561,18.825,20.325,16
A124,-2.5347,-57.7581,17.0,17.32,17
A125,-2.6336,-59.6006,21.964999999999996,24.072999999999997,18
A126,-2.0567,-60.0258,20.5,24.099999999999998,16
A127,-2.629,-60.9411,14.8,14.8,1
A128,-0.9872,-62.9242,19.48,20.696,17
A133,-5.7886,-61.2883,23.04,24.608,9
A134,-0.1253,-67.0611,19.259999999999998,19.372,8
A135,2.8169,-60.6908,23.15,24.23,16
A136,-8.2672,-72.7478,19.89,19.978,12
A137,-8.95,-72.7867,24.92,24.984,9
A138,-8.1428,-70.3436,23.95,24.07,16
A140,-11.0239,-68.7353,20.459999999999997,21.692,15
A144,-8.0911,-60.3806,21.525,23.265,6
A201,-1.4112,-48.4395,19.57,20.068,23
A202,-1.3008,-47.9481,20.839999999999996,21.156,23
A203,-2.5267,-44.2136,17.58,18.246,23
A204,-7.4556,-46.0275,23.619999999999997,24.163999999999998,18
A205,-7.3372,-47.4597,20.999999999999996,21.72,19
A206,-3.7428,-43.3522,23.58,24.476,17
A207,-5.8161,-46.1622,20.374999999999993,22.715000000000003,10
A208,-7.5618,-49.6988,18.36,18.472,2
A209,-3.5108,-52.9633,17.729999999999997,18.346,15
A210,-3.8436,-50.6381,20.979999999999997,21.555999999999997,13
A211,-3.8642,-54.2164,21.34,23.708000000000002,17
A212,-2.9006,-47.495,23.889999999999997,24.538,19
A213,-2.5925,-48.3606,19.515,19.583000000000002,18
A214,-4.8275,-48.1736,21.34,22.108,17
A215,-0.6189,-47.3567,17.455,18.610999999999997,18
A216,-6.6397,-51.9569,31.999999999999993,35.519999999999996,9
A217,-2.2708,-43.6242,23.035,24.047,12
A218,-2.5922,-42.7075,18.75,19.27,11
A219,-1.6611,-45.3725,19.06,19.252,17
A220,-4.2431,-44.795,22.36,22.552,17
A221,-5.5067,-45.2369,21.479999999999997,23.656,17
A222,-6.0331,-44.2333,23.534999999999997,24.147,18
A223,-9.1083,-45.9319,22.16,22.432,18
A224,-6.6533,-47.4183,24.19,24.598,18
A225,-5.5558,-47.4597,24.9,24.9,18
A226,-1.0558,-46.7828,24.915,24.983,18
A227,-0.7278,-48.5158,20.199999999999996,22.999999999999996,15
A228,-1.6803,-50.4781,30.4,30.88,5
A229,-3.8228,-49.675,23.025,23.085,16
A230,-6.0775,-50.1422,23.439999999999998,24.447999999999997,15
A231,-4.2769,-55.9931,21.405,22.600999999999996,14
A232,-1.8808,-55.5197,23.679999999999996,24.255999999999997,4
A233,-9.3406,-50.3503,24.625,24.685,16
A234,-6.7433,-51.1419,22.75,23.669999999999998,11
A235,-4.2439,-49.9394,23.95,24.07,16
A236,-2.2397,-49.4997,19.56,20.231999999999996,13
A237,-4.8214,-43.3436,23.88,24.136,17
A238,-4.3206,-46.4494,21.99,22.717999999999996,14
A239,-2.0,-54.0764,23.779999999999998,23.875999999999998,13
A240,-5.3664,-49.0511,22.499999999999996,23.22,13
A241,-8.3036,-49.2828,24.345,24.549,18
A242,3.8136,-51.8625,18.775,18.955,16
A243,1.4967,-50.9167,23.549999999999997,24.47,11
A244,0.6942,-51.4039,23.779999999999998,24.676,15
A245,-1.8219,-52.1117,17.77,17.794,4
A246,-6.32,-55.7878,22.05,22.25,11
A247,-7.1106,-49.9261,45.69999999999999,47.86,10
A248,-1.7347,-47.0575,21.029999999999998,21.646,15
A249,0.035,-51.0889,23.599999999999998,24.32,13
A250,-2.5025,-54.7203,21.519999999999992,23.823999999999998,10
A251,0.5678,-50.8236,35.22,38.804,5
A252,-4.2806,-47.5639,40.68,41.016,8
A253,-3.27,-52.3947,35.099999999999994,38.21999999999999,7
A254,-8.0433,-50.0069,22.869999999999997,23.614,7
A255,-3.2692,-45.6511,35.48,38.776,5
A256,-8.7297,-49.8564,41.04,42.688,5
A301,-8.0592,-34.9592,21.48,22.296,18
A302,0.9169,-29.3458,23.485,24.297,8
A303,-9.5511,-35.7703,24.525,24.857999999999997,22
A304,-5.8372,-35.2081,21.179999999999996,23.116000000000003,23
A305,-3.8158,-38.5378,15.88,21.90600000000001,23
A306,-3.7481,-40.3458,22.575000000000003,23.863999999999997,22
A307,-9.3883,-40.5233,24.189999999999998,25.858999999999998,22
A308,-3.0867,-41.7831,21.53,23.496,22
A309,-8.4336,-37.0556,24.51,24.679,22
A310,-6.9756,-35.7181,18.0,18.552999999999997,22
A311,-6.7614,-43.0033,22.0,22.72,21
A312,-5.0347,-42.8014,22.515,22.743,20
A313,-7.2256,-35.9047,19.060000000000002,19.971999999999998,20
A314,-4.2292,-38.9589,18.209999999999997,19.161999999999995,18
A315,-7.3008,-39.2711,21.4,23.0,17
A316,-6.4675,-37.085,24.53,24.746000000000002,19
A317,-5.1511,-36.5731,24.019999999999996,24.563999999999997,18
A318,-4.9042,-37.3669,21.944999999999997,22.148999999999997,18
A319,-6.3964,-39.2689,23.24,24.248,19
A320,-7.1653,-34.8156,20.379999999999992,23.116000000000003,19
A321,-7.0797,-37.2728,23.93,24.146,19
A322,-8.9108,-36.4933,18.689999999999998,19.338,19
A323,-9.7492,-37.4308,21.49,23.257999999999996,18
A324,-6.0175,-40.2814,22.0,23.2,16
A325,-5.1744,-39.2894,23.16,23.592,19
A326,-9.08,-44.3278,24.63,24.846,19
A327,-9.4203,-36.6203,20.11,20.902,19
A328,-7.8425,-35.7903,17.69,18.098,18
A329,-8.5039,-39.3153,23.419999999999998,23.564,19
A330,-8.1322,-41.1431,26.21999999999997,35.724000000000004,19
A331,-8.3644,-42.2525,23.264999999999993,26.732999999999993,18
A332,-5.0911,-38.3647,23.979999999999997,24.556,19
A333,-6.8358,-38.3117,21.79,22.438000000000002,19
A334,-7.8944,-37.1247,21.939999999999998,22.228,19
A335,-4.2761,-41.7944,23.12,23.264,19
A336,-8.3764,-43.8594,23.74,23.868,17
A337,-9.2858,-43.3244,22.389999999999997,24.157999999999998,18
A338,-3.8994,-42.2594,23.259999999999998,24.492,12
A339,-4.8378,-37.6997,21.579999999999995,22.876,19
A340,-5.6267,-37.815,22.255,23.410999999999998,18
A341,-8.3653,-36.0283,19.619999999999997,20.483999999999998,19
A342,-5.1867,-40.6722,24.034999999999997,24.647,18
A343,-7.0711,-41.4042,22.084999999999997,23.376999999999995,18
A344,-5.16,-35.4875,22.599999999999998,22.839999999999996,13
A345,-9.0331,-42.7011,20.73,20.866,18
A346,-7.4414,-44.345,15.909999999999995,18.221999999999994,18
A347,-7.0778,-40.3628,23.029999999999998,23.646,15
A348,-7.4833,-36.2864,23.39,23.798,18
A349,-8.5094,-37.7117,23.505,23.980999999999998,18
A350,-7.9542,-38.295,22.939999999999998,23.708,17
A351,-8.5989,-38.5842,22.465,23.212999999999997,18
A352,-6.5619,-35.1353,17.619999999999997,19.604,17
A353,-9.8044,-36.6192,19.465,20.212999999999997,18
A354,-6.9742,-42.1469,22.919999999999998,22.983999999999998,17
A355,-10.1286,-36.2864,18.019999999999996,20.964,17
A356,-9.2875,-35.5658,16.14,16.588,17
A357,-8.6667,-35.5681,19.09999999999999,23.17999999999999,18
A358,-5.9056,-38.6278,23.38,23.956,17
A359,-3.4842,-39.5886,22.599999999999994,24.279999999999998,15
A360,-3.1211,-40.0872,19.0,19.0,15
A361,-5.3492,-41.5122,20.154999999999998,20.831,14
A362,-5.9111,-42.7186,24.3,24.540000000000003,11
A363,-6.4236,-41.7489,24.14,24.268,17
A364,-9.8753,-45.3458,23.18,23.756,17
A365,-8.1181,-42.9758,22.4,22.4,16
A366,-7.8858,-40.1028,21.475,22.375,16
A367,-6.2281,-36.0267,18.145,18.509,14
A368,-3.7322,-41.0119,19.99,20.398,7
A369,-4.9789,-39.0572,18.45,18.49,6
A370,-8.0581,-39.0961,25.9,26.86,9
A371,-9.6222,-37.7672,26.699999999999996,28.459999999999997,9
A372,-5.535,-36.8722,35.4,40.36,9
A373,-7.3183,-38.1408,20.975,21.155,6
A374,-10.4292,-45.1731,24.914999999999996,27.462999999999997,8
A375,-8.3335,-45.0946,27.009999999999994,29.642,8
A376,-4.8642,-42.1456,21.94,22.228,7
A377,-6.0894,-42.7275,45.8,46.99999999999999,4
A401,-13.0056,-38.5058,44.975,46.574999999999996,26
A402,-12.1247,-45.0269,23.4,23.634,23
A403,-12.7626,-38.1691,24.55,24.91,11
A404,-12.1525,-45.8297,23.704999999999995,24.284999999999997,24
A405,-17.7394,-39.2586,19.77,21.282,23
A406,-12.6756,-39.0894,18.069999999999997,18.434,23
A407,-13.5278,-40.1197,18.0,19.76,21
A408,-12.5242,-40.2997,23.09,23.646,23
A409,-10.9525,-37.0544,35.59999999999997,40.96600000000001,23
