codigo_estacao,mes,rajada_max,rajada_media,dias
A001,1,19.6,9.346632124352332,772
A001,2,19.0,9.169757489300999,701
A001,3,23.5,8.741374837872893,771
A001,4,20.7,8.132977303070762,749
A001,5,14.4,7.616993464052287,765
A001,6,12.9,7.907115135834411,773
A001,7,20.8,8.521059268600252,793
A001,8,14.5,8.91147132169576,802
A001,9,18.0,9.115850515463917,776
A001,10,26.4,9.286658195679797,787
A001,11,24.3,9.41628532974428,743
A001,12,21.7,9.42257217847769,762
A002,1,21.4,8.675342465753424,730
A002,2,22.3,8.658447488584475,657
A002,3,21.8,8.084750337381916,741
A002,4,19.4,7.383684950773558,711
A002,5,18.4,6.755418381344307,729
A002,6,16.4,7.236181575433911,749
A002,7,16.2,7.824031007751938,774
A002,8,16.7,8.457385620915032,765
A002,9,20.7,8.865041782729806,718
A002,10,22.3,8.87629009762901,717
A002,11,23.2,8.836532951289398,698
A002,12,21.2,8.803378378378378,740
A003,1,21.9,10.037996820349761,629
A003,2,23.7,9.651693404634582,561
A003,3,20.6,9.059186991869918,615
A003,4,21.1,8.315555555555555,630
A003,5,19.5,7.780573248407643,628
A003,6,16.1,8.245076923076923,650
A003,7,16.5,9.022301136363636,704
A003,8,22.5,9.854277699859749,713
A003,9,21.5,10.113731343283582,670
A003,10,22.6,10.11918429003021,662
A003,11,24.0,10.11603305785124,605
A003,12,25.0,10.224423963133642,651
A004,1,23.9,9.609150326797387,459
A004,2,21.9,9.45144927536232,414
A004,3,20.2,8.984803921568627,408
A004,4,16.4,8.420481927710844,415
A004,5,15.1,8.037410071942446,417
A004,6,14.7,8.790393013100436,458
A004,7,15.5,9.44053497942387,486
A004,8,16.6,9.953927813163482,471
A004,9,23.2,10.332727272727272,495
A004,10,22.7,10.07270955165692,513
A004,11,20.9,9.692325581395348,430
A004,12,22.9,9.47978494623656,465
A005,1,17.0,8.578217821782177,303
A005,2,19.3,8.309964412811388,281
A005,3,19.8,8.242721518987342,316
A005,4,15.2,7.221580547112462,329
A005,5,13.1,6.767218543046358,302
A005,6,11.4,7.527272727272727,308
A005,7,13.1,7.68422712933754,317
A005,8,19.1,8.619202898550725,276
A005,9,23.5,9.03560606060606,264
A005,10,19.2,9.043478260869565,322
A005,11,21.5,9.064406779661017,295
A005,12,20.9,8.558359621451103,317
A006,1,15.9,8.09,60
A006,2,17.4,7.816666666666667,54
A006,3,15.5,7.794117647058823,68
A006,4,11.5,6.838461538461539,26
A006,5,10.6,6.829032258064516,31
A006,6,9.6,7.367647058823529,34
A006,7,13.8,7.245283018867925,53
A006,8,12.7,8.434246575342467,73
A006,9,14.0,8.331506849315069,73
A006,10,16.3,8.267441860465116,86
A006,11,15.1,7.953846153846154,65
A006,12,15.0,8.146774193548387,62
A007,1,13.4,9.509677419354839,31
A007,2,17.7,9.68421052631579,38
A007,3,15.8,8.94032258064516,62
A007,4,18.2,8.528333333333332,60
A007,5,15.6,7.579032258064516,62
A007,6,10.8,7.3983333333333325,60
A007,7,20.5,9.324193548387097,62
A007,8,23.5,9.112903225806452,62
A007,9,15.8,9.209259259259259,54
A007,10,21.4,10.093548387096773,31
A007,11,19.1,10.04,30
A007,12,14.7,8.922580645161291,31
A008,1,20.7,11.288405797101449,276
A008,2,19.9,10.658232931726907,249
A008,3,21.1,10.321942446043165,278
A008,4,23.0,9.789629629629628,270
A008,5,20.3,9.824542124542123,273
A008,6,16.0,10.182986111111111,288
A008,7,21.1,10.880645161290323,310
A008,8,21.1,11.5,292
A008,9,22.0,11.966536964980545,257
A008,10,20.3,11.428052805280528,303
A008,11,20.5,11.206959706959706,273
A008,12,24.2,11.360573476702509,279
A009,1,20.9,8.805280528052805,606
A009,2,20.1,9.108611599297012,569
A009,3,19.4,8.303565891472868,645
A009,4,17.9,7.925801282051282,624
A009,5,19.2,8.148208469055374,614
