method,pct,bias,rmse,mae,corr,n
"V2 (IDW p=2, k=15)",p95,-6.149002898134382,8.323420880814693,7.002745577471219,0.25905570192545957,615
"V2 (IDW p=2, k=15)",p99,-6.480036096315981,9.162344774524273,7.545785255356842,0.2424905158911024,615
"V3 (Gaussiano sigma=2.0, k=15)",p95,-6.6252008221549765,8.627347407079421,7.345409617794764,0.2805246988344453,615
"V3 (Gaussiano sigma=2.0, k=15)",p99,-7.093958730487811,9.457831110567835,7.912301185434577,0.2935353179713192,615
V4 (Brown-Resnick calibrado),p95,-6.493320761872621,8.51186426342376,7.226752626258037,0.2814013588626252,615
V4 (Brown-Resnick calibrado),p99,-6.906059646165546,9.327770678454497,7.750723383754554,0.28220243252087734,615
MSP1 (F-madograma),p95,-1.263985761441817,6.190680637657692,3.992055614310226,0.1904871332322323,615
MSP1 (F-madograma),p99,-1.321302031991812,7.221708195179923,4.59818484198815,0.17357649568104658,615
MSP1 (Verossimilhanca composta),p95,-3.132840622769568,6.497596720937723,4.694076612740344,0.21528493856647157,615
MSP1 (Verossimilhanca composta),p99,-3.818055887300353,7.588937730945142,5.500310652948095,0.1962134905897532,615
EVK,p95,1.2452242692530144,7.451458603580236,4.366682008061032,0.11002626864373925,615
EVK,p99,3.0325501362871297,9.970658894949247,5.957458405145836,0.06787564411591976,615
Quantile Kriging,p95,0.023882921778209745,6.523638057951612,4.432238582491745,0.14879510836345317,615
Quantile Kriging,p99,0.10737970159721656,6.268264591728969,3.9971273452059113,0.22488265009797007,615
RBF Multiquadric,p95,0.054420923460321007,6.1076589605859875,4.010908640083723,0.16939690376448,615
RBF Multiquadric,p99,0.06188368870541077,7.122053534375773,4.709224875459492,0.14462586160281907,615
IDW Adaptativo,p95,-0.030167945459961806,5.176139921565914,3.394581484311825,0.3274297681150921,615
IDW Adaptativo,p99,-0.07376846166216657,6.065558942919438,4.015172635244386,0.2970805453458525,615
