codigo_estacao,predicted,observed,n_accepted,n_total
A731,24.33881568908692,24.76564,96,500000
A829,36.36934661865234,41.701999999999984,106,500000
A113,21.37970924377441,23.685,134,500000
A523,21.508665084838867,22.2,311,420000
A123,18.919261932373047,20.325,208,500000
A356,17.131175994873047,16.588,59,500000
A616,20.882362365722656,21.662,63,500000
A110,21.06948471069336,23.256,141,500000
A213,20.6359977722168,19.583,69,500000
A909,21.929168701171875,23.706,180,500000
A411,21.019420623779297,21.288,100,500000
A444,23.437902450561523,19.975,55,500000
A508,22.60152053833008,23.478,80,500000
A345,22.3222770690918,20.866,70,500000
A355,19.46167755126953,20.964,79,500000
A430,21.44706916809082,21.436,53,500000
A329,24.128849029541016,23.564,73,500000
A018,25.3580379486084,24.782,63,500000
A549,24.28940200805664,24.586,51,500000
A556,24.48874855041504,24.735,119,500000
A538,23.06141662597656,23.572,69,500000
A539,22.763240814208984,23.292,67,500000
A510,22.273826599121094,22.6,110,500000
A111,20.60240936279297,20.066,183,500000
A328,18.66477394104004,18.098,72,500000
A722,23.08208465576172,24.162,307,460000
A433,22.68893814086914,24.323999999999995,94,500000
A336,24.18646240234375,23.868,120,500000
A126,21.79024887084961,24.1,84,500000
A548,24.391170501708984,24.328,81,500000
A413,25.425594329833984,24.209,97,500000
A125,23.778705596923828,24.073,63,500000
A741,25.21391868591309,24.556,105,500000
A211,23.17059326171875,23.708,42,500000
A524,21.97698402404785,23.991,94,500000
A717,26.02470016479492,24.4,32,500000
A015,24.024059295654297,24.456,238,500000
A725,23.98251342773437,24.753,123,500000
A906,22.88800048828125,24.76,226,500000
A848,34.76139068603516,32.504,88,500000
A443,21.74971389770508,23.852,121,500000
A622,25.964750289916992,26.826,112,500000
A349,23.48238945007324,23.981,107,500000
A820,30.916343688964844,34.334,117,500000
A521,23.42696762084961,24.848,278,500000
A401,31.43517303466797,46.575,122,500000
A863,30.565004348754883,30.845,77,500000
A844,38.42639923095703,41.366,77,500000
A718,24.82486724853516,25.0754,64,500000
A724,23.62376976013184,37.564,317,180000
A817,32.8004035949707,34.815,102,500000
A850,34.3460693359375,34.651999999999994,67,500000
A609,34.93080139160156,41.57499999999999,128,500000
A840,28.351261138916016,29.277,112,500000
A516,26.14350318908692,24.905,85,500000
A803,26.96788024902344,26.228,60,500000
A652,34.99029541015625,33.74,63,500000
A828,31.11795425415039,33.812999999999995,93,500000
A854,28.48338508605957,30.41108,91,500000
A833,37.84716796875,41.48,100,500000
A856,34.28014373779297,37.38899999999998,91,500000
A734,26.18886375427246,28.240000000000002,89,500000
