Station,Feature,PREDEP,Pearson,Spearman,N_samples,Calc_Time_s
A805,ws_mean,0.44787,0.5527,0.6623,9497,1.3
A805,ws_max,0.55292,0.6507,0.7593,9497,1.03
A805,ws_std,0.27312,0.4352,0.483,9497,1.03
A805,ws_p90,0.57606,0.622,0.7321,9497,0.84
A805,sin_dir_mean,0.09654,-0.1319,-0.1104,9497,0.91
A805,cos_dir_mean,0.14545,0.1792,0.2011,9497,1.0
A805,msl_mean,0.15485,-0.277,-0.2783,9497,1.08
A805,msl_min,0.1535,-0.3165,-0.3154,9497,1.03
A805,msl_range,0.13441,0.27,0.2313,9497,1.29
A805,t2m_mean,0.08003,0.1282,0.1203,9497,1.11
A805,t2m_max,0.10355,0.0332,0.0224,9497,0.8
A805,t2m_min,0.15668,0.1947,0.2025,9497,0.77
A805,t2m_range,0.17418,-0.239,-0.2683,9497,0.76
A805,rh_mean,0.09724,0.1261,0.1054,9497,0.75
A805,rh_p10,0.10769,0.226,0.2159,9497,1.38
A805,td_dep_mean,0.17297,-0.1173,-0.1096,9497,1.0
A805,tp_sum,0.52214,0.3523,0.3613,9497,1.03
A805,tp_max,0.44291,0.3902,0.3689,9497,0.98
A805,d_msl,0.12392,-0.0636,-0.0769,9496,1.18
A805,tp_lag1,0.16965,0.0743,0.0934,9496,1.7
A805,tp_lag2,0.15573,-0.0197,-0.0342,9495,0.86
A805,tp_roll3,0.15457,0.2048,0.2035,9495,0.72
A853,ws_mean,0.43664,0.5565,0.6655,9497,0.84
A853,ws_max,0.60468,0.6714,0.7662,9497,0.69
A853,ws_std,0.25501,0.4836,0.4934,9497,0.67
A853,ws_p90,0.59248,0.6442,0.7412,9497,0.7
A853,sin_dir_mean,0.15364,-0.1303,-0.0908,9497,0.74
A853,cos_dir_mean,0.15955,0.1003,0.0787,9497,0.67
A853,msl_mean,0.19858,-0.2739,-0.2634,9497,0.65
A853,msl_min,0.18309,-0.3108,-0.2969,9497,0.67
A853,msl_range,0.11028,0.2591,0.2102,9497,0.71
A853,t2m_mean,0.12069,0.1207,0.1063,9497,0.69
A853,t2m_max,0.12802,0.0011,-0.0137,9497,0.68
A853,t2m_min,0.17308,0.2103,0.2035,9497,0.69
A853,t2m_range,0.19936,-0.2973,-0.324,9497,1.53
A853,rh_mean,0.13371,0.1162,0.0983,9497,1.3
A853,rh_p10,0.1692,0.2434,0.2307,9497,1.03
A853,td_dep_mean,0.09028,-0.1093,-0.1084,9497,0.81
A853,tp_sum,,0.3803,0.379,9497,0.6
A853,tp_max,,0.4014,0.3822,9497,0.52
A853,d_msl,0.07505,-0.035,-0.0216,9496,0.81
A853,tp_lag1,,0.1018,0.1369,9496,0.62
A853,tp_lag2,,-0.0011,0.0092,9495,0.53
A853,tp_roll3,,0.2436,0.2592,9495,0.58
A854,ws_mean,0.42104,0.5454,0.6163,9497,0.87
A854,ws_max,0.55886,0.6707,0.7451,9497,0.91
A854,ws_std,0.27804,0.5136,0.5501,9497,1.01
A854,ws_p90,0.54743,0.6355,0.7071,9497,1.0
A854,sin_dir_mean,0.09109,-0.1832,-0.186,9497,0.87
A854,cos_dir_mean,0.18397,0.1884,0.1928,9497,1.04
A854,msl_mean,0.17909,-0.3216,-0.3319,9497,1.05
A854,msl_min,0.14908,-0.3574,-0.3614,9497,0.86
A854,msl_range,0.12982,0.2484,0.1783,9497,0.93
