codigo_estacao,inmet_p95,inmet_p99,era_orig_p95,era_orig_p99,v2_p95,v2_p99,v3_p95,v3_p99
A001,12.2,15.014999999999963,12.3795595,13.700779,12.801696,14.334415,12.049575805664062,13.351800918579102
A002,12.5,15.5,11.455356,12.864181,12.574476,15.015873,11.487154006958008,12.705512046813965
A003,13.9,17.4,11.753839,13.373928,13.537889,16.352451,11.884519577026367,13.340413093566895
A004,13.8,16.9,11.142139,12.532136,13.034475,15.961219,11.006903648376465,12.22398567199707
A005,12.7,16.378999999999994,11.262268,12.491701,11.891405,13.882458,11.197794914245605,12.421627044677734
A006,12.879999999999995,15.015999999999996,11.345836,12.878357,11.468193,13.0770445,11.238296508789062,12.675488471984863
A007,13.7,17.753999999999984,11.277558,12.903195,11.488183,13.292711,10.932554244995117,12.327425003051758
A008,15.3,18.558999999999923,12.1968155,13.528641,12.783654,14.193172,11.699414253234863,13.008188247680664
A009,16.0,18.6,11.998386,13.169104,15.216511,17.71424,11.863146781921387,13.017417907714844
A010,12.7,15.9,11.665408,12.931483,12.532182,14.701015,11.762454986572266,12.916116714477539
A011,15.284999999999945,19.517000000000007,11.33761,12.936261,13.805922,17.732948,12.005474090576172,13.744467735290527
A012,13.8,16.9,11.921293,13.308442,13.334417,16.083323,11.658674240112305,12.988312721252441
A013,12.9,16.4,10.022992,11.3403845,11.92554,15.262951,10.715465545654297,12.0665864944458
A014,14.0,16.984000000000016,11.390805,12.782852,13.081317,15.476394,11.341058731079102,12.688358306884766
A015,13.8,17.4,10.622945,12.005881,12.540977,16.158157,10.73883056640625,12.056446075439453
A016,15.0,18.680999999999948,11.235788,13.331855,14.173714,17.734274,12.188323974609375,13.922986030578613
A017,14.0,16.3,13.382889,14.818595,13.997034,15.659314,12.28408145904541,13.454801559448242
A018,13.3,17.1,12.058487,13.345186,12.954701,15.800027,11.894807815551758,13.237257957458496
A019,13.5,16.9,12.119472,13.432558,13.250313,15.924253,11.958054542541504,13.351412773132324
A020,12.6,15.6,11.008764,12.173656,12.087355,14.729554,10.912503242492676,12.053733825683594
