codigo_estacao,fonte,ano,rajada_ms
A703,Base Pré-Interpolada,2001,21.5949
A703,Base Pré-Interpolada,2002,22.3
A703,Base Pré-Interpolada,2003,22.1
A703,Base Pré-Interpolada,2005,19.8257
A703,Base Pré-Interpolada,2006,22.6
A703,Base Pré-Interpolada,2007,26.5583
A703,Base Pré-Interpolada,2008,18.4823
A703,Base Pré-Interpolada,2009,21.3234
A703,Base Pré-Interpolada,2010,18.9298
A703,Base Pré-Interpolada,2011,20.4723
A703,Base Pré-Interpolada,2012,21.3
A703,Base Pré-Interpolada,2013,22.115
A703,Base Pré-Interpolada,2014,21.422
A703,Base Pré-Interpolada,2015,21.7
A703,Base Pré-Interpolada,2016,19.7
A703,Base Pré-Interpolada,2017,22.4717
A703,Base Pré-Interpolada,2018,21.7162
A703,Base Pré-Interpolada,2019,20.5963
A703,Base Pré-Interpolada,2022,20.7
A703,Base Pré-Interpolada,2023,23.4005
A703,Base Pré-Interpolada,2024,19.2835
A703,Base Pré-Interpolada,2025,19.6
A703,ERA5 original,2000,20.4392
A703,ERA5 original,2001,21.5949
A703,ERA5 original,2002,21.6485
A703,ERA5 original,2003,22.3837
A703,ERA5 original,2004,20.1272
A703,ERA5 original,2005,21.4083
A703,ERA5 original,2006,19.0361
A703,ERA5 original,2007,26.5583
A703,ERA5 original,2008,18.4823
A703,ERA5 original,2009,21.3234
A703,ERA5 original,2010,18.9298
A703,ERA5 original,2011,20.4723
A703,ERA5 original,2012,20.0163
A703,ERA5 original,2013,22.115
A703,ERA5 original,2014,21.422
A703,ERA5 original,2015,21.0934
A703,ERA5 original,2016,19.2462
A703,ERA5 original,2017,22.4717
A703,ERA5 original,2018,21.7162
A703,ERA5 original,2019,20.5963
A703,ERA5 original,2020,22.372
A703,ERA5 original,2021,22.3653
A703,ERA5 original,2022,21.3272
A703,ERA5 original,2023,23.4005
A703,ERA5 original,2024,19.2835
A703,ERA5 original,2025,19.5512
A703,INMET (real),2001,16.9
A703,INMET (real),2002,22.3
A703,INMET (real),2003,22.1
A703,INMET (real),2005,17.3
A703,INMET (real),2006,22.6
A703,INMET (real),2007,20.1
A703,INMET (real),2008,17.2
A703,INMET (real),2009,20.2
A703,INMET (real),2010,17.5
A703,INMET (real),2011,19.4
A703,INMET (real),2012,21.3
A703,INMET (real),2013,19.9
A703,INMET (real),2014,20.4
A703,INMET (real),2015,21.7
A703,INMET (real),2016,19.7
A703,INMET (real),2017,18.7
A703,INMET (real),2018,20.0
A703,INMET (real),2019,19.4
A703,INMET (real),2022,20.7
A703,INMET (real),2023,20.8
A703,INMET (real),2024,17.6
A703,INMET (real),2025,19.6
A703,"V2 (IDW p=2, k=15)",2000,20.43919563293457
A703,"V2 (IDW p=2, k=15)",2001,21.594934463500977
A703,"V2 (IDW p=2, k=15)",2002,21.96784782409668
A703,"V2 (IDW p=2, k=15)",2003,22.38372039794922
