codigo_estacao,p95,p99,n_obs
A001,21.080757,22.687527,26
A002,21.766598,22.483513,26
A003,22.907951,23.76239,26
A004,22.182356,22.799414,26
A005,20.84861,22.452171,26
A006,15.707793,16.733019,26
A007,16.662851,21.16087,26
A008,23.992907,25.605337,26
A009,22.853092,22.950817,26
A010,21.445133,24.07733,26
A011,24.708876,24.7185,26
A012,22.772041,23.411861,26
A013,21.406324,23.619537,26
A014,23.578413,24.139412,26
A015,22.944473,23.42054,26
A016,23.444155,23.633839,26
A017,22.081182,22.6277,26
A018,23.690632,24.063694,26
A019,21.805798,23.869265,26
A020,22.428349,22.98458,26
A021,17.06897,17.350832,26
A022,23.324574,23.5665,26
A023,22.412613,22.90397,26
A024,20.7525,23.080883,26
A025,24.087753,24.53855,26
A026,23.435095,23.482622,26
A027,23.542107,23.652073,26
A028,22.118618,23.313251,26
A029,28.574905,37.167206,26
A031,26.316364,27.967472,26
A032,24.080462,25.000078,26
A033,22.33249,22.408936,26
A034,21.404148,21.868637,26
A035,22.517979,23.09597,26
A036,22.735655,22.98865,26
A037,20.439163,22.509254,26
A038,22.756615,23.165323,26
A039,22.203548,23.250805,26
A040,23.29437,23.587288,26
A041,23.38691,23.917019,26
A042,23.268402,27.513542,26
A043,18.617893,19.078957,26
A044,23.210882,23.25526,26
A045,20.397583,20.730457,26
A046,23.992907,25.605337,26
A047,22.034954,22.714333,26
A048,26.578938,33.128963,26
A049,24.304691,34.018745,26
A050,23.954126,27.728863,26
A051,20.178715,20.667736,26
A052,20.367542,22.07325,26
A053,22.303944,23.768764,26
A054,21.806059,22.88629,26
A055,19.72147,26.523296,26
A056,34.34434,36.660725,26
A101,35.480877,37.528954,26
A102,21.78846,22.507542,26
A104,23.254435,23.685192,26
A108,18.433498,18.997297,26
A109,19.836838,22.032635,26
A110,21.397036,22.643768,26
A111,19.580986,19.93366,26
A112,23.712498,24.341076,26
A113,22.345757,23.079601,26
A117,21.381212,21.92125,26
A119,20.67818,21.475529,26
A121,19.10521,20.977907,26
A122,18.632368,19.085075,26
A123,17.884481,19.86813,26
A124,16.608906,17.005081,26
A125,19.827194,22.403555,26
A126,18.301014,22.797195,26
A127,12.963343,13.966157,26
A128,18.603073,20.171524,26
A133,19.51992,23.345238,26
A134,19.053537,19.308151,26
A135,22.775627,24.347141,26
A136,19.427057,19.811172,26
A137,23.69246,24.34527,26
A138,23.988298,24.133366,26
A140,19.395624,21.386936,26
A144,14.017445,20.32211,26
A201,18.922382,19.50446,26
A202,19.114668,19.906685,26
A203,17.21305,17.769276,26
A204,22.517275,23.769377,26
A205,20.762114,21.25986,26
A206,22.418625,23.825274,26
A207,16.486565,21.09935,26
A208,14.893399,17.140924,26
A209,16.918045,17.858913,26
A210,20.463219,21.268885,26
A211,20.290123,23.060797,26
A212,22.585653,23.73995,26
A213,19.095604,19.462101,26
A214,20.542717,21.593916,26
A215,16.574112,17.815212,26
A216,24.612762,33.41768,26
A217,,,26
A218,,,26
A219,19.185085,19.596474,26
A220,21.540154,21.9105,26
A221,19.980404,22.671902,26
A222,22.818356,23.637138,26
A223,21.489357,21.662432,26
A224,23.210972,23.678783,26
A225,24.7737,25.02829,26
A226,23.138094,24.45081,26
A227,18.087591,21.813644,26
A228,24.13563,29.504818,26
A229,21.065918,22.596024,26
A230,22.545921,23.721426,26
A231,19.939514,21.79443,26
A232,19.676594,22.81074,26
A233,24.204037,24.517288,26
A234,21.393326,22.956112,26
A235,22.815907,23.741093,26
A236,18.56442,19.653751,26
A237,23.154274,23.636429,26
A238,20.866537,22.30688,26
A239,22.670326,23.359383,26
A240,21.72977,22.945847,26
A241,22.809448,23.092411,26
A242,,,26
A243,21.44062,23.07604,26
A244,21.79149,23.758131,26
A245,16.365824,17.087044,26
A246,21.392752,21.830301,26
A247,34.817513,43.778587,26
A248,20.590466,21.371918,26
A249,21.308859,22.882645,26
A250,16.946566,22.240181,26
A251,16.90333,32.462433,26
A252,38.37561,39.74225,26
A253,24.659182,34.562077,26
A254,19.996199,22.370766,26
A255,18.672207,33.90998,26
A256,31.91111,39.49176,26
A301,,,26
A302,,,26
A303,23.071857,23.854652,26
A304,19.78819,21.993675,26
A305,16.40784,20.974257,26
A306,22.265718,23.507654,26
A307,23.25875,24.995474,26
A308,20.590633,22.640577,26
A309,23.785412,24.29542,26
A310,17.731007,18.081726,26
A311,21.1029,21.84046,26
A312,21.131926,21.450508,26
A313,17.811386,19.051006,26
A314,17.776453,18.68468,26
A315,19.910976,21.793533,26
A316,23.640408,23.904675,26
A317,23.404655,24.850508,26
A318,20.624256,21.024832,26
A319,21.938002,23.094864,26
A320,,,26
A321,22.942524,23.080784,26
A322,17.089718,18.473618,26
A323,20.376408,22.650034,26
A324,20.71671,22.275911,26
A325,21.447891,21.915405,26
A326,23.740818,24.079082,26
A327,18.560087,18.86222,26
A328,17.207497,17.472454,26
A329,22.021496,22.455143,26
A330,24.467781,34.179153,26
A331,21.921871,25.912134,26
A332,22.335537,23.382175,26
A333,21.040422,21.492714,26
A334,21.045784,21.609516,26
A335,22.127432,22.290804,26
A336,22.78564,23.187231,26
A337,21.295277,23.021118,26
A338,21.41224,23.024286,26
A339,19.685495,20.869911,26
A340,20.963638,22.49708,26
A341,18.856058,19.9216,26
A342,23.045626,23.828894,26
A343,20.753382,22.144918,26
A344,,,26
A345,19.840742,20.214148,26
