codigo_estacao,latitude,longitude,p95,p99,n_obs
A001,-15.7894,-47.9258,17.05528581377076,17.276570449647803,26
A002,-16.6428,-49.2203,16.685337077036944,17.112099409765918,25
A003,-17.745,-49.1017,18.688412811413656,19.294390056733747,24
A004,-14.4694,-48.4858,15.51659110245479,15.541273905996135,18
A005,-13.3094,-49.1175,15.801074357394102,15.885788428616724,14
A006,-14.5333,-49.9667,16.39357470851037,17.264734239304275,6
A007,-15.4333,-50.3667,13.363220154524782,13.374291128035022,2
A008,-15.9075,-48.12,15.714605313106459,15.901025627150634,11
A009,-10.1478,-48.3144,16.033350101868248,16.637977640940093,22
A010,-12.615,-47.8719,18.142182338325664,19.042833945089644,21
A011,-18.9692,-50.6333,19.239687894148155,19.465628642385745,19
A012,-16.2606,-47.9669,21.58996123162866,21.841563178771338,20
A013,-15.9028,-52.2453,17.39175978031725,17.465639327739886,19
A014,-15.9397,-50.1414,14.846663889192406,14.872580054779164,19
A015,-14.9797,-49.5394,16.0669833062919,16.53054262980259,17
A016,-17.9236,-51.7175,19.747706386011817,21.85532288491875,19
A017,-14.0892,-46.3664,18.307675280701016,18.578653195356047,19
A018,-12.0153,-48.5444,18.39106579306899,18.598228849262902,19
A019,-11.745,-49.0517,17.090528944281466,17.375177857282388,19
A020,-8.9686,-48.1772,18.351380639249832,19.87711265048612,19
A021,-7.1039,-48.2011,21.249631694872846,22.858446949942852,19
A022,-15.2203,-48.99,18.09875895573323,19.29768985408124,19
A023,-16.9669,-51.8175,17.5505309879171,18.271804057127845,19
A024,-14.1331,-47.5233,17.790330588481645,19.27021156779364,17
A025,-17.7853,-50.965,18.629867287445922,19.38938099830844,19
A026,-17.4547,-52.6011,19.89176311565612,20.279444638197173,19
A027,-16.9625,-50.4256,20.63429073840502,22.595579659914822,18
A028,-16.4231,-51.1489,18.31802700946473,18.813109519933114,13
A029,-17.3369,-49.9147,17.1232030453499,17.579693300197956,9
A031,-12.8206,-50.3358,17.095591199192697,17.14182907634133,9
A032,-13.2536,-46.8903,16.30276214089113,16.538287039263913,19
A033,-17.3042,-48.2842,17.08073679820343,17.907564958162556,19
A034,-18.1547,-47.9275,17.14006073004944,17.7035194690191,18
A035,-18.4097,-49.1919,20.585469477151364,23.44571236368236,19
A036,-16.785,-47.6131,17.77489396104518,22.66141444095693,18
A037,-16.6797,-48.6181,19.627223206923578,20.598285832935453,16
A038,-11.5944,-46.8472,17.920093682953958,19.42610080360608,18
A039,-11.8875,-49.6083,17.102407507137183,17.318473971049375,18
A040,-10.4344,-45.9219,16.588359417868734,16.624503705983606,13
A041,-9.5764,-49.7233,18.255671741435652,18.934564721307588,14
A042,-15.5997,-48.1311,14.395929407797167,14.398008235291842,9
A043,-8.1547,-46.6394,16.22983989633761,16.430670040458487,10
A044,-5.6436,-48.1119,17.017402094074903,17.9918983752214,16
A045,-15.5964,-47.6258,16.599573204989486,17.271570759702538,18
A046,-15.9353,-48.1375,15.956902904353326,16.006397798853953,12
A047,-16.0122,-47.5575,21.738205361009786,22.5312511786348,9
A048,-7.1242,-48.7813,14.10238171101803,14.40381514735381,10
A049,-8.0928,-48.4786,16.461892059175145,16.810677095879626,10
A050,-9.7934,-47.1327,17.316636341764518,17.381878067499432,10
A051,-10.4769,-49.6294,20.21333889001416,21.578955718416132,9
A052,-11.4289,-48.185,18.268998745678807,18.859998435310697,11
A053,-11.2842,-47.2122,18.706488592547906,18.85045269608577,10
A054,-12.5922,-49.5286,17.909657666461165,18.217465889053937,11
A055,-10.8283,-49.8479,18.3801349334725,18.590067599758513,10
A056,-16.3994,-47.6258,17.607711447988294,18.00614365772502,8
A101,-3.1033,-60.0164,16.746198016879795,17.181579982073917,26
A102,-9.3583,-69.9264,16.202327485270832,16.469928588988623,15
A104,-9.9592,-67.869,16.631787904801225,16.784192616295346,17
A108,-7.6106,-72.6811,17.785141073916087,18.094447658649965,9
A109,-6.6503,-69.8686,19.019420862404203,19.372017098157414,8
